ANO,MES,NCM,KG,FOB,FRETE,date,KG_,FOB_,FRETE_,KG_s,FOB_s,FRETE_s
2019,8,31059090-0,3397000.0000000065,2565019,89171,2019-08-01,6.531095546870029,6.409090586432082,4.950223637024803,0.026319416541767903,0.043146422254517,0.018015726763903447
2019,12,31059090-0,3048100.0000000186,2253056,82873,2019-12-01,6.484029210940459,6.35277198630383,4.918413060574885,0.023615390784500506,0.03789762366950519,0.016742463374471453
2020,3,31059090-0,2315728.0000000317,1791791,63400,2020-03-01,6.364687546835918,6.253287350839379,4.8020892578817325,0.01793940124050087,0.030136808831478023,0.012805617076851695
2020,7,31059090-0,4032100.0000000177,2903589,87480,2020-07-01,6.6055312944964095,6.462935142446665,4.9419087743656,0.03124153393483358,0.048842885414979775,0.017673858172044206
2020,9,31059090-0,3832269.0000000056,2650731,92714,2020-09-01,6.583455986083792,6.423365657139647,4.967145318434337,0.02969281461382311,0.04458853245450396,0.018732013234014206
2021,1,31059090-0,3000100.0000000065,1969326,65402,2021-01-01,6.477135730961124,6.294317614706913,4.8155910292980115,0.023243383801557334,0.03312384721997304,0.013210360377207816
2021,3,31059090-0,3026700.000000029,2053071,72679,2021-03-01,6.480969376753965,6.31240396854986,4.861408943161731,0.023449537671271795,0.034532862511856416,0.01468154768824253
2021,5,31059090-0,3179470.0000000177,1974536,104601,2021-05-01,6.502354731538246,6.295465056258849,5.019535836466303,0.024633527395942833,0.03321150582252498,0.021135201851063764
2021,6,31059090-0,3010400.0000000168,1992566,98712,2021-06-01,6.47862420531181,6.299412715494042,4.994369951220781,0.023323210299980614,0.03351486179258477,0.01994462577923699
2021,9,31059090-0,3880000.000000028,2448265,168415,2021-09-01,6.58883172559421,6.388858424016383,5.226380769628681,0.030062736807632783,0.04118202830397009,0.03403644509228531
2021,12,31059090-0,4110400.000000039,2737465,190297,2021-12-01,6.613884086922275,6.437348575189166,5.279431941761978,0.031848370325759635,0.04604783787364795,0.038460317668905016
2022,3,31059090-0,6630500.000000023,6645212,339824,2022-03-01,6.821546279393207,6.822508840652942,5.531254047574503,0.051379511944818865,0.11179594557931863,0.06869011360913968
2022,4,31059090-0,2562080.0000000307,2250444,133350,2022-04-01,6.408592686304894,6.352268210434427,5.124993020025895,0.019848665079292383,0.03785367659275555,0.026947372251632264
2022,5,31059090-0,3973810.0000000056,5243778,127500,2022-05-01,6.599207098323822,6.719644297164533,5.105510184769974,0.030789777954921986,0.08821672369663562,0.02576468078955269
